tile_m,tile_n,copy_mode,avg_time_ms
32,32,0,0.357144
32,32,1,0.44357
32,32,2,0.436689
32,32,3,13.479
32,32,4,0.381308
32,64,0,0.357689
32,64,1,0.443044
32,64,2,0.43677
32,64,3,13.4675
32,64,4,0.379719
32,128,0,0.357058
32,128,1,0.444228
32,128,2,0.437215
32,128,3,13.488
32,128,4,0.379645
32,256,0,0.360039
32,256,1,0.442631
32,256,2,0.437313
32,256,3,13.4845
32,256,4,0.379658
64,32,0,0.358578
64,32,1,0.442324
64,32,2,0.437226
64,32,3,13.4745
64,32,4,0.381343
64,64,0,0.358923
64,64,1,0.442238
64,64,2,0.438343
64,64,3,13.4664
64,64,4,0.381355
64,128,0,0.359299
64,128,1,0.444417
64,128,2,0.438466
64,128,3,13.4909
64,128,4,0.379686
64,256,0,0.357661
64,256,1,0.449361
64,256,2,0.442378
64,256,3,13.6416
64,256,4,0.383168
128,32,0,0.361806
128,32,1,0.444507
128,32,2,0.438585
128,32,3,13.478
128,32,4,0.380087
128,64,0,0.35841
128,64,1,0.445294
128,64,2,0.442285
128,64,3,13.6028
128,64,4,0.38294
128,128,0,0.361081
128,128,1,0.444287
128,128,2,0.440234
128,128,3,13.5983
128,128,4,0.382202
128,256,0,0.358605
128,256,1,0.445557
128,256,2,0.439783
128,256,3,13.6047
128,256,4,0.382006
256,32,0,0.358646
256,32,1,0.444488
256,32,2,0.440266
256,32,3,13.5972
256,32,4,0.383513
256,64,0,0.358487
256,64,1,0.443888
256,64,2,0.439948
256,64,3,13.573
256,64,4,0.381653
256,128,0,0.358562
256,128,1,0.443733
256,128,2,0.439764
256,128,3,13.5956
256,128,4,0.383169
256,256,0,0.359033
256,256,1,0.447507
256,256,2,0.438293
256,256,3,13.4651
256,256,4,0.383163
